question_id,document_id,question,embedding_time,retrieval_time,prompt_construction_time,llm_generation_time,total_response_time,number_of_retrieved_chunks,prompt_tokens,completion_tokens,total_tokens,success,error
Q001,2ed5b051-1673-4efb-b9c3-b6062be305b9,When does the employment begin?,4.167332899996836,2.5978254999936325,0.00012409999908413738,0.3392362000013236,18.10994909999863,4,2532,14,2546,True,
Q002,2ed5b051-1673-4efb-b9c3-b6062be305b9,How long is the probation period?,0.0951712999958545,0.08443519999855198,7.639999967068434e-05,0.4190803000019514,1.382563699997263,4,2522,8,2530,True,
Q003,2ed5b051-1673-4efb-b9c3-b6062be305b9,Can either party terminate employment during probation?,0.020242599995981436,0.0451935000019148,3.85999956051819e-05,16.430058699996152,16.98251490000257,3,2199,30,2229,True,
Q004,2ed5b051-1673-4efb-b9c3-b6062be305b9,What salary does the employee receive?,0.04641799999808427,0.013948099993285723,3.440000000409782e-05,20.458763100003125,21.10473799999454,4,2522,24,2546,True,
Q005,2ed5b051-1673-4efb-b9c3-b6062be305b9,What benefits is the employee entitled to?,0.046262099996965844,0.02602610000030836,4.53000029665418e-05,27.234122699999716,28.045965699995577,4,2534,25,2559,True,
Q006,2ed5b051-1673-4efb-b9c3-b6062be305b9,Where are the employee's duties defined?,5.493638599997212,2.3047501999972155,3.909999941242859e-05,7.54878550000285,17.434289299999364,4,2552,63,2615,True,
Q007,2ed5b051-1673-4efb-b9c3-b6062be305b9,Can the employer terminate employment immediately?,0.049759900000935886,0.12673789999826113,4.430000262800604e-05,25.553003799999715,26.648171300003014,4,2602,13,2615,True,
Q008,2ed5b051-1673-4efb-b9c3-b6062be305b9,What notice must be given after probation to terminate employment?,0.026434300001710653,0.13116730000183452,6.500000017695129e-05,25.507297000003746,26.399406700002146,4,2611,25,2636,True,
Q009,2ed5b051-1673-4efb-b9c3-b6062be305b9,Which law governs termination benefits?,0.023740700002235826,0.06481959999655373,3.930000093532726e-05,23.509455499995966,24.238520899998548,4,2605,17,2622,True,
Q010,2ed5b051-1673-4efb-b9c3-b6062be305b9,Can the employee disclose confidential information?,0.021486500001628883,0.07116900000255555,4.320000152802095e-05,24.252597500002594,24.93425610000122,4,2598,46,2644,True,
Q011,2ed5b051-1673-4efb-b9c3-b6062be305b9,Can the employee assign this employment agreement?,0.021043000000645407,0.020779399994353298,4.099999932805076e-05,26.447509600002377,27.090463599997747,4,2619,11,2630,True,
Q012,2ed5b051-1673-4efb-b9c3-b6062be305b9,What happens if one clause is declared invalid?,0.027895699997316115,0.012765200001013,9.270000009564683e-05,22.49028079999698,23.24609440000495,4,2568,28,2596,True,
Q013,2ed5b051-1673-4efb-b9c3-b6062be305b9,How many working hours are required each day?,0.039714899998216424,0.01796180000383174,6.820000271545723e-05,24.455045799993968,25.39512619999732,4,2585,9,2594,True,
Q014,2ed5b051-1673-4efb-b9c3-b6062be305b9,How often is a rest day provided?,0.01901019999786513,0.01377399999910267,9.419999696547166e-05,24.452721900001052,25.389129800001683,4,2567,11,2578,True,
Q015,2ed5b051-1673-4efb-b9c3-b6062be305b9,Who provides personal protective equipment?,0.05347959999926388,0.01736229999369243,7.499999628635123e-05,25.498901099999784,26.24512460000551,4,2560,28,2588,True,
Q016,2ed5b051-1673-4efb-b9c3-b6062be305b9,How is gratuity calculated?,0.02201039999636123,0.012737299999571405,6.130000110715628e-05,23.731273299999884,24.52949150000495,4,2541,20,2561,True,
Q017,2ed5b051-1673-4efb-b9c3-b6062be305b9,How should official notices be delivered?,0.020059499998751562,0.014671799995994661,4.8800000513438135e-05,25.570774599997094,26.185135600004287,4,2548,45,2593,True,
Q018,2ed5b051-1673-4efb-b9c3-b6062be305b9,When is a mailed notice considered received?,0.07740520000515971,0.05740620000142371,9.000000136438757e-05,24.51778390000254,25.43544649999967,4,2564,23,2587,True,
Q019,2ed5b051-1673-4efb-b9c3-b6062be305b9,Which law governs the interpretation of the agreement?,0.7142787999982829,0.11730479999823729,5.870000313734636e-05,22.451165599995875,24.097655000005034,4,2578,14,2592,True,
Q020,2ed5b051-1673-4efb-b9c3-b6062be305b9,Who retains an original copy of the agreement after signing?,0.03378610000072513,0.17718439999589464,5.270000110613182e-05,22.44165129999601,23.80030750000151,4,2584,18,2602,True,
Q021,0e89becd-6661-4a83-9a3f-0edd40957da8,What is the objective of this agreement?,0.029145400003471877,0.2633759999953327,0.00010889999975915998,27.577598700001545,28.61685550000402,3,2853,51,2904,True,
Q022,0e89becd-6661-4a83-9a3f-0edd40957da8,Who are the parties involved in this agreement?,0.02163509999809321,0.014989100003731437,6.549999670824036e-05,27.526531600000453,28.176283000000694,3,2879,37,2916,True,
Q023,0e89becd-6661-4a83-9a3f-0edd40957da8,What must the first party do before a payment is due?,0.027000399997632485,0.07197549999546027,4.25000034738332e-05,28.666173300000082,29.233767500001704,3,2886,39,2925,True,
Q024,0e89becd-6661-4a83-9a3f-0edd40957da8,How early must the recipient list be provided?,0.02205580000008922,0.01363370000035502,4.8300003982149065e-05,28.581213800003752,29.09779300000082,3,2876,22,2898,True,
Q025,0e89becd-6661-4a83-9a3f-0edd40957da8,Which currencies can be used for payment?,0.02264370000193594,0.014913399994838983,5.980000423733145e-05,27.58122230000299,28.115308299995377,3,2841,14,2855,True,
Q026,0e89becd-6661-4a83-9a3f-0edd40957da8,What exchange rate must the second party use?,0.02518160000181524,0.013025899999774992,4.479999915929511e-05,27.492059999996854,28.05203739999706,3,2830,26,2856,True,
Q027,0e89becd-6661-4a83-9a3f-0edd40957da8,What should the second party do if cash delivery is delayed?,0.045085400000971276,0.014401599997654557,4.6799999836366624e-05,27.52875679999852,28.05052379999688,3,2809,27,2836,True,
Q028,0e89becd-6661-4a83-9a3f-0edd40957da8,How many copies of the payment receipt must be issued?,0.028329199994914234,0.011559000005945563,5.01000031363219e-05,27.54499570000189,28.06115779999527,3,2801,24,2825,True,
Q029,0e89becd-6661-4a83-9a3f-0edd40957da8,What evidence must be provided after completing a distribution cycle?,0.024425100004009437,0.014953599995351397,4.289999924367294e-05,27.625912499999686,28.129019400003017,3,2785,42,2827,True,
Q030,0e89becd-6661-4a83-9a3f-0edd40957da8,How long is the contract valid?,0.020782399995368905,0.013793900005111936,5.4100004490464926e-05,27.547445800002606,28.151698400004534,3,2803,13,2816,True,
Q031,0e89becd-6661-4a83-9a3f-0edd40957da8,How can this agreement be amended?,0.018133300000044983,0.016521999998076353,4.440000338945538e-05,27.45410190000257,27.96880830000009,3,2801,13,2814,True,
Q032,0e89becd-6661-4a83-9a3f-0edd40957da8,How much notice is required to terminate the agreement?,0.02232229999935953,0.013580099999671802,6.059999577701092e-05,27.72058819999802,28.198430099997495,3,2789,13,2802,True,
Q033,0e89becd-6661-4a83-9a3f-0edd40957da8,How should disputes first be resolved?,0.0213108000025386,0.01114469999447465,5.570000212173909e-05,26.502921699997387,27.027663000000757,3,2770,23,2793,True,
Q034,0e89becd-6661-4a83-9a3f-0edd40957da8,What happens if a dispute cannot be resolved through consultation?,0.028318000004219357,0.012304099996981677,8.38999985717237e-05,27.093748800005415,27.72529029999714,3,2769,30,2799,True,
Q035,0e89becd-6661-4a83-9a3f-0edd40957da8,How many original signed copies are required to validate the contract?,0.023010499993688427,0.012908699995023198,3.8100006349850446e-05,26.496349299995927,26.975207800001954,3,2758,13,2771,True,
Q036,0e89becd-6661-4a83-9a3f-0edd40957da8,Why should aid agencies know their supplier?,0.01880179999716347,0.014568400001735426,4.0599996282253414e-05,27.719863599995733,28.235521000002336,3,2759,48,2807,True,
Q037,0e89becd-6661-4a83-9a3f-0edd40957da8,What business information should aid agencies assess about a supplier?,0.019676199997775257,0.011564000000362284,4.0599996282253414e-05,27.691148899997643,28.185836999997264,3,2797,48,2845,True,
Q038,0e89becd-6661-4a83-9a3f-0edd40957da8,Why is understanding ownership and control important?,0.023455199996533338,0.01327809999929741,4.470000567380339e-05,27.468682300001092,28.016602099996817,3,2829,46,2875,True,
Q039,0e89becd-6661-4a83-9a3f-0edd40957da8,What question should be asked regarding agent selection during due diligence?,0.02436450000095647,0.2593512000021292,4.3799998820759356e-05,28.61225209999975,29.386623300000792,3,2857,53,2910,True,
Q040,0e89becd-6661-4a83-9a3f-0edd40957da8,What working capital information should be collected during supplier assessment?,0.160274699999718,0.719069099999615,3.5899996873922646e-05,26.632271800001035,29.293230800001766,3,2880,37,2917,True,
