question_id,question,document_id,expected_chunk_id,retrieved_chunk_ids,retrieved_scores,hit@k,precision@k,recall@k,reciprocal_rank
Q001,When does the employment begin?,2ed5b051-1673-4efb-b9c3-b6062be305b9,2e42a731-2334-4bd4-be1c-b38e98ff858c,"[""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q002,How long is the probation period?,2ed5b051-1673-4efb-b9c3-b6062be305b9,2e42a731-2334-4bd4-be1c-b38e98ff858c,"[""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q003,Can either party terminate employment during probation?,2ed5b051-1673-4efb-b9c3-b6062be305b9,2e42a731-2334-4bd4-be1c-b38e98ff858c,"[""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q004,What salary does the employee receive?,2ed5b051-1673-4efb-b9c3-b6062be305b9,2e42a731-2334-4bd4-be1c-b38e98ff858c,"[""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e""]","[null, null, null, null]",1.0,0.2,1.0,0.3333333333333333
Q005,What benefits is the employee entitled to?,2ed5b051-1673-4efb-b9c3-b6062be305b9,2e42a731-2334-4bd4-be1c-b38e98ff858c,"[""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c""]","[null, null, null, null]",1.0,0.2,1.0,0.25
Q006,Where are the employee's duties defined?,2ed5b051-1673-4efb-b9c3-b6062be305b9,3b560d21-0ecb-4bb2-a5cd-27fbab85eb82,"[""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q007,Can the employer terminate employment immediately?,2ed5b051-1673-4efb-b9c3-b6062be305b9,3b560d21-0ecb-4bb2-a5cd-27fbab85eb82,"[""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q008,What notice must be given after probation to terminate employment?,2ed5b051-1673-4efb-b9c3-b6062be305b9,3b560d21-0ecb-4bb2-a5cd-27fbab85eb82,"[""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q009,Which law governs termination benefits?,2ed5b051-1673-4efb-b9c3-b6062be305b9,3b560d21-0ecb-4bb2-a5cd-27fbab85eb82,"[""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q010,Can the employee disclose confidential information?,2ed5b051-1673-4efb-b9c3-b6062be305b9,3b560d21-0ecb-4bb2-a5cd-27fbab85eb82,"[""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q011,Can the employee assign this employment agreement?,2ed5b051-1673-4efb-b9c3-b6062be305b9,3b560d21-0ecb-4bb2-a5cd-27fbab85eb82,"[""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86""]","[null, null, null, null]",1.0,0.2,1.0,0.3333333333333333
Q012,What happens if one clause is declared invalid?,2ed5b051-1673-4efb-b9c3-b6062be305b9,3b560d21-0ecb-4bb2-a5cd-27fbab85eb82,"[""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82""]","[null, null, null, null]",1.0,0.2,1.0,0.25
Q013,How many working hours are required each day?,2ed5b051-1673-4efb-b9c3-b6062be305b9,24ce5d2f-ad21-4da1-bc74-3dd4f308bd86,"[""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q014,How often is a rest day provided?,2ed5b051-1673-4efb-b9c3-b6062be305b9,24ce5d2f-ad21-4da1-bc74-3dd4f308bd86,"[""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q015,Who provides personal protective equipment?,2ed5b051-1673-4efb-b9c3-b6062be305b9,24ce5d2f-ad21-4da1-bc74-3dd4f308bd86,"[""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c""]","[null, null, null, null]",1.0,0.2,1.0,0.3333333333333333
Q016,How is gratuity calculated?,2ed5b051-1673-4efb-b9c3-b6062be305b9,24ce5d2f-ad21-4da1-bc74-3dd4f308bd86,"[""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c""]","[null, null, null, null]",1.0,0.2,1.0,1.0
Q017,How should official notices be delivered?,2ed5b051-1673-4efb-b9c3-b6062be305b9,24ce5d2f-ad21-4da1-bc74-3dd4f308bd86,"[""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c""]","[null, null, null, null]",1.0,0.2,1.0,0.3333333333333333
Q018,When is a mailed notice considered received?,2ed5b051-1673-4efb-b9c3-b6062be305b9,24ce5d2f-ad21-4da1-bc74-3dd4f308bd86,"[""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c""]","[null, null, null, null]",1.0,0.2,1.0,0.3333333333333333
Q019,Which law governs the interpretation of the agreement?,2ed5b051-1673-4efb-b9c3-b6062be305b9,a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e,"[""a1a6fcb2-61bd-497d-8bf3-8d3f35d4e10e"", ""2e42a731-2334-4bd4-be1c-b38e98ff858c"", ""24ce5d2f-ad21-4da1-bc74-3dd4f308bd86"", ""3b560d21-0ecb-4bb2-a5cd-27fbab85eb82""]","[null, null, null, null]",1.0,0.2,1.0,1.0
